label,merged_by_organizations,has_quorum_intersection,top_tier_size,mbs_min,mbs_max,mbs_mean,mss_min,mss_max,mss_mean,mq_min,mq_max,mq_mean,analysis_duration_mq,analysis_duration_mbs,analysis_duration_mss,analysis_duration_total
2019-07-01,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.010626727,0.000014916,0.000015857,0.015341567
2019-07-02,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.013884679,0.000010679,0.000012972,0.018954949
2019-07-03,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007162867,0.000010997,0.000012568,0.009004249
2019-07-04,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007034207,9.294e-6,0.000012665,0.008690441
2019-07-05,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007148998,9.423e-6,0.000012185,0.008566126
2019-07-06,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00700431,9.932e-6,0.000013133,0.009400591
2019-07-07,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007307231,0.000010144,0.000012811,0.008644302
2019-07-08,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007114311,9.718e-6,0.000012841,0.008441522
2019-07-09,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007073658,0.000010032,0.000012993,0.008363306
2019-07-10,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006921275,9.099e-6,0.000012435,0.008186875
2019-07-11,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006873574,9.045e-6,0.000012289,0.008123912
2019-07-12,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006907861,9.34e-6,0.000012443,0.008115619
2019-07-13,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006902683,0.000010987,0.000012634,0.008097635
2019-07-14,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00690161,0.000010338,0.000012333,0.008101643
2019-07-15,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006881679,9.645e-6,0.000012849,0.0080689
2019-07-16,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006900849,0.000010202,0.000012395,0.00808545
2019-07-17,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006872232,0.000010057,0.000012737,0.008037638
2019-07-18,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00714302,9.54e-6,0.000012404,0.008395731
2019-07-19,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006876059,9.252e-6,0.00001197,0.007974382
2019-07-20,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006936432,9.606e-6,0.000012573,0.008079542
2019-07-21,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006866866,9.625e-6,0.000012565,0.007955013
2019-07-22,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006876722,9.523e-6,0.000012648,0.007988301
2019-07-23,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006754464,0.000010558,0.000012274,0.007893813
2019-07-24,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006795778,0.000010505,0.000013189,0.007953856
2019-07-25,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00676364,9.181e-6,0.00001219,0.007864766
2019-07-26,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006708502,9.124e-6,0.000012306,0.007858655
2019-07-27,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006823438,9.01e-6,0.000012693,0.00792126
2019-07-28,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006943664,9.349e-6,0.000012427,0.008073176
2019-07-29,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006984651,8.936e-6,0.000011821,0.008227724
2019-07-30,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006688905,9.546e-6,0.000012094,0.007804268
2019-07-31,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006920117,9.661e-6,9.369e-6,0.008014691
2019-08-01,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006933999,9.087e-6,0.000012334,0.008017524
2019-08-02,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006804318,8.784e-6,0.000012401,0.007906732
2019-08-03,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006860414,8.775e-6,0.000012151,0.007991385
2019-08-04,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.0067806,8.81e-6,0.000011704,0.007901776
2019-08-05,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006908121,9.501e-6,0.000012238,0.008024069
2019-08-06,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006908897,0.00001133,0.000015587,0.008036837
2019-08-07,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006962674,9.705e-6,0.000016532,0.008245737
2019-08-08,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006989557,9.21e-6,0.000011999,0.008320309
2019-08-09,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006761007,9.075e-6,0.000012086,0.007974727
2019-08-10,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006771014,8.992e-6,0.000011633,0.007923345
2019-08-11,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006779245,8.82e-6,0.000012349,0.007940369
2019-08-12,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006757455,8.808e-6,0.000012176,0.007872565
2019-08-13,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006884965,9.285e-6,0.000012094,0.008007266
2019-08-14,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006768807,9.207e-6,0.000012214,0.007892891
2019-08-15,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006851494,9.666e-6,0.000012434,0.008060188
2019-08-16,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006899775,9.189e-6,0.000012167,0.008049278
2019-08-17,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006960368,9.92e-6,0.000012301,0.008204806
2019-08-18,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006775742,9.296e-6,0.000012233,0.007952265
2019-08-19,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006792329,9.628e-6,0.000012862,0.007931004
2019-08-20,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006776158,9.987e-6,0.000012657,0.007918069
2019-08-21,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006801762,0.000011201,0.000013034,0.007957638
2019-08-22,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006919662,0.000010061,0.00001251,0.008102912
2019-08-23,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007038063,0.000010464,0.000012874,0.008215193
2019-08-24,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007116469,9.387e-6,0.000012272,0.008264502
2019-08-25,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00712786,9.185e-6,0.000012771,0.008308602
2019-08-26,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006992129,0.000013636,0.000018799,0.008128636
2019-08-27,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007164638,0.000010417,0.000012794,0.008275679
2019-08-28,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007118177,9.095e-6,0.000012609,0.008450755
2019-08-29,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006969451,9.195e-6,0.000012503,0.008102986
2019-08-30,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006959948,8.71e-6,0.000012726,0.00805774
2019-08-31,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006967003,9.104e-6,0.000012759,0.008044733
2019-09-01,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007092853,9.075e-6,0.00001244,0.008177119
2019-09-02,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006972931,9.019e-6,0.000015708,0.008098919
2019-09-03,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006969777,8.854e-6,0.000012702,0.008046482
2019-09-04,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007094083,9.704e-6,0.000012919,0.008169769
2019-09-05,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.003397075,9.758e-6,9.767e-6,0.004408529
2019-09-06,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007221311,0.000010583,9.897e-6,0.008224143
2019-09-07,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007057325,9.904e-6,0.000012632,0.008075784
2019-09-08,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006785672,8.896e-6,0.000012628,0.007834385
2019-09-09,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006534402,9.914e-6,0.000011814,0.007552481
2019-09-10,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006542626,9.223e-6,0.000011433,0.007496173
2019-09-11,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006556042,0.000010887,0.000024234,0.008367257
2019-09-12,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006577973,9.19e-6,0.000011956,0.007536215
2019-09-13,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006519232,8.994e-6,0.000011724,0.007566455
2019-09-14,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006515551,9.05e-6,0.000011754,0.007478056
2019-09-15,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006546203,8.643e-6,0.000011411,0.007461102
2019-09-16,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00678155,0.000012028,0.000012302,0.007730263
2019-09-17,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006825237,9.402e-6,0.000011998,0.007744268
2019-09-18,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006559775,0.000010724,0.000012046,0.007572914
2019-09-19,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006981753,0.000010317,0.000011715,0.007937922
2019-09-20,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006994877,0.000010912,0.000011869,0.008032849
2019-09-21,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006981159,9.391e-6,0.00001146,0.007965735
2019-09-22,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006951882,9.486e-6,0.000011934,0.007938273
2019-09-23,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006951293,8.737e-6,0.0000119,0.007910817
2019-09-24,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.00696275,9.44e-6,0.000011613,0.007946568
2019-09-25,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.007057586,8.612e-6,0.000011405,0.008032967
2019-09-26,true,true,5,2,2,2.0,3,3,3.0,4,4,4.0,0.006949745,9.452e-6,0.000011674,0.007940491
